Date,Open,High,Low,Close,Adj Close,Volume
7/17/2023,72000,72600,71200,71400,71400,2340400
7/18/2023,null,null,null,null,null,null
7/19/2023,71000,71800,70500,71000,71000,2835400
7/20/2023,71200,73500,71200,72900,72900,5116900
7/21/2023,73100,73900,72800,73000,73000,3264000
7/24/2023,73100,73100,71600,72300,72300,4582200
7/25/2023,null,null,null,null,null,null
7/26/2023,72300,73800,71700,72000,72000,3265400
7/27/2023,null,null,null,null,null,null
7/28/2023,71500,72900,71100,72600,72600,3038500
7/31/2023,null,null,null,null,null,null
8/1/2023,null,null,null,null,null,null
8/2/2023,null,null,null,null,null,null
8/3/2023,74000,75500,73400,74100,74100,3368400
8/4/2023,74200,75400,73900,74500,74500,2596900
8/7/2023,74900,75100,73700,73900,73900,3386700
8/8/2023,74000,75200,73600,74600,74600,3114300
8/9/2023,75000,75000,73900,74000,74000,2160100
8/10/2023,74000,75800,73800,74200,74200,5085100
8/11/2023,74900,75000,72700,73300,73300,5349300
8/14/2023,73500,74300,72900,73400,73400,2630600
8/15/2023,73900,76400,73300,76400,76400,6586500
8/16/2023,76800,76900,75200,75700,75700,2665600
8/17/2023,75700,76400,75300,75600,75600,4393700
8/18/2023,75100,75600,70400,70500,70500,9711700
8/21/2023,70600,71700,69000,70000,70000,3599300
8/22/2023,70700,71100,67000,71000,71000,3516600
8/23/2023,71900,73000,71300,72400,72400,3033200
8/24/2023,72500,75500,72200,75100,75100,5218900
8/25/2023,75200,80000,74900,79800,79800,8219400
8/28/2023,80100,83800,80100,83800,83800,4395100
8/29/2023,83900,84400,82100,83000,83000,3441000
8/30/2023,83200,85100,83000,83700,83700,2285300
8/31/2023,84000,87500,83500,87500,87500,3516800
9/1/2023,null,null,null,null,null,null
9/4/2023,null,null,null,null,null,null
9/5/2023,87900,91100,86600,91000,91000,3282300
9/6/2023,91000,92700,89500,90800,90800,3550300
9/7/2023,90900,92200,89000,89000,89000,3232100
9/8/2023,90000,93900,89500,92400,92400,4651000
9/11/2023,94000,94000,90100,90900,90900,5227600
9/12/2023,91100,92500,90800,92200,92200,2192600
9/13/2023,93500,93500,90600,90800,90800,5308800
9/14/2023,90300,92800,90100,90800,90800,4722700
9/15/2023,91200,92300,90500,90800,90800,2315400
9/18/2023,90000,90800,88300,89200,89200,4025600
9/19/2023,89300,93300,89300,92800,92800,5109900
9/20/2023,93200,97500,93200,95900,95900,3462600
9/21/2023,96000,97000,93600,94000,94000,4491400
9/22/2023,92500,99600,91400,98000,98000,7370000
9/25/2023,98000,98700,91200,91200,91200,5155900
9/26/2023,90000,93700,90000,90500,90500,5426000
9/27/2023,91900,92000,86000,91600,91600,5859900
9/28/2023,91800,94000,89900,93900,93900,3637200
9/29/2023,95000,95500,92900,93500,93500,2717700
10/2/2023,93000,94500,92800,93700,93700,2737300
10/3/2023,93000,93200,89900,91000,91000,4606800
10/4/2023,90000,95500,89000,94500,94500,6562700
10/5/2023,95200,97000,93000,93000,93000,3498100
10/6/2023,93900,95800,92100,95000,95000,2451600
10/9/2023,95100,98500,95100,97000,97000,4270800
10/10/2023,98000,98000,95000,95300,95300,3552200
10/11/2023,95300,97000,94700,97000,97000,1889800
10/12/2023,97500,101000,96600,97900,97900,4366800
10/13/2023,96900,99500,96700,99300,99300,3282300
10/16/2023,99200,99800,96500,96900,96900,3252100
10/17/2023,97200,97900,90200,90200,90200,3049600
10/18/2023,92100,92500,86800,91100,91100,7116600
10/19/2023,91300,91500,88600,89800,89800,2735000
10/20/2023,89800,91000,85900,90900,90900,5009000
10/23/2023,90500,90900,86500,87500,87500,3812800
10/24/2023,87800,90600,87500,89900,89900,2017800
10/25/2023,89900,90500,88500,89300,89300,2058600
10/26/2023,87500,87900,83100,85000,85000,7204100
10/27/2023,85000,86100,81100,85000,85000,1823200
10/30/2023,83500,85300,81500,81500,81500,2426300
10/31/2023,82500,82600,78600,79000,79000,3753217
11/1/2023,79200,80300,76500,80300,80300,3412400
11/2/2023,82000,85900,81000,85800,85800,3372800
11/3/2023,86700,86700,84800,85800,85800,2205500
11/6/2023,86400,89000,85600,88400,88400,2395600
11/7/2023,87900,89700,86500,88000,88000,2238600
11/8/2023,87900,93000,87700,93000,93000,2997800
11/9/2023,93000,94700,92400,92800,92800,3662100
11/10/2023,91800,95300,91800,93000,93000,3411000
11/13/2023,93100,94300,91700,93300,93300,1734600
11/14/2023,94000,95200,92800,93500,93500,2632400
11/15/2023,95000,95000,94000,94000,94000,2254400
11/16/2023,93800,96200,93100,95800,95800,2760400
11/17/2023,96000,96000,92500,93300,93300,2781700
11/20/2023,91300,94200,91300,93300,93300,1839700
11/21/2023,94500,95000,93500,94900,94900,2232100
11/22/2023,95500,97900,95200,96200,96200,3916500
11/23/2023,96900,97000,92900,92900,92900,3467700
11/24/2023,93800,95500,91300,95500,95500,3115600
