Date,Open,High,Low,Close,Adj Close,Volume
7/17/2023,27700,27750,27200,27300,27300,12593900
7/18/2023,null,null,null,null,null,null
7/19/2023,27100,27700,27050,27400,27400,15378300
7/20/2023,27300,28200,27300,28200,28200,31095330
7/21/2023,28350,28400,28100,28400,28400,18455970
7/24/2023,28450,28600,28000,28250,28250,17428920
7/25/2023,null,null,null,null,null,null
7/26/2023,28250,28450,28150,28400,28400,23078660
7/27/2023,null,null,null,null,null,null
7/28/2023,28400,28600,28150,28300,28300,23039300
7/31/2023,null,null,null,null,null,null
8/1/2023,null,null,null,null,null,null
8/2/2023,null,null,null,null,null,null
8/3/2023,27350,27500,26500,26850,26850,58359720
8/4/2023,26800,27500,26800,27350,27350,22170810
8/7/2023,27550,27750,27300,27550,27550,23770010
8/8/2023,27600,27900,27150,27200,27200,25958520
8/9/2023,27200,27850,27050,27800,27800,42762950
8/10/2023,27900,27900,27300,27350,27350,17064830
8/11/2023,27400,27750,27150,27700,27700,23577110
8/14/2023,27800,28350,27650,28150,28150,45175560
8/15/2023,28150,28250,27850,27950,27950,18301640
8/16/2023,27950,28000,27650,27950,27950,14994630
8/17/2023,28000,28700,28000,28100,28100,47261770
8/18/2023,27900,28000,26200,26500,26500,46397410
8/21/2023,26450,26550,25900,26200,26200,31481370
8/22/2023,26200,26350,25100,26150,26150,37542810
8/23/2023,26350,26450,25650,25650,25650,21853330
8/24/2023,25650,26300,25600,26300,26300,16636910
8/25/2023,26200,26400,25950,25950,25950,21878710
8/28/2023,26000,26850,26000,26850,26850,23115300
8/29/2023,26900,27150,26700,27000,27000,18000600
8/30/2023,27000,27250,26750,27200,27200,20439500
8/31/2023,27400,27900,27300,27600,27600,25933700
9/1/2023,null,null,null,null,null,null
9/4/2023,null,null,null,null,null,null
9/5/2023,27800,27950,27250,27800,27800,24602610
9/6/2023,27750,29000,27400,29000,29000,52984600
9/7/2023,29000,29300,28500,28650,28650,33992810
9/8/2023,28500,29150,28400,28750,28750,35945480
9/11/2023,29000,29050,27750,28000,28000,47697600
9/12/2023,28000,28750,27700,28750,28750,22795520
9/13/2023,28800,29400,28250,28400,28400,49263400
9/14/2023,28400,28550,27750,27800,27800,36127400
9/15/2023,27900,28100,27600,27600,27600,25750600
9/18/2023,27600,28100,27200,27600,27600,21241200
9/19/2023,28000,28150,27500,28150,28150,22032900
9/20/2023,28150,28550,28050,28400,28400,26862700
9/21/2023,28400,29100,28150,28400,28400,42961200
9/22/2023,27750,27950,26750,27300,27300,51375500
9/25/2023,27000,27500,25700,26000,26000,36873300
9/26/2023,25850,26800,25850,26200,26200,31033600
9/27/2023,26150,26700,26150,26500,26500,22287100
9/28/2023,26600,26850,26200,26600,26600,17462600
9/29/2023,26800,26850,26250,26300,26300,16242100
10/2/2023,26300,26450,26000,26200,26200,11880050
10/3/2023,26100,26100,24700,24800,24800,40668000
10/4/2023,24500,25500,24000,25250,25250,21145200
10/5/2023,25400,25500,24850,24900,24900,10524150
10/6/2023,24850,25300,24650,24950,24950,20850000
10/9/2023,24950,25600,24950,25500,25500,11637850
10/10/2023,25700,26250,25600,26000,26000,20145700
10/11/2023,26150,26250,25800,26200,26200,13787900
10/12/2023,26300,26300,25600,25800,25800,23107300
10/13/2023,25600,25750,25050,25750,25750,20448000
10/16/2023,25750,25800,25000,25000,25000,16265000
10/17/2023,25200,25450,24800,24800,24800,15321500
10/18/2023,24800,24950,23200,24000,24000,31519100
10/19/2023,24100,24200,23450,23700,23700,20934100
10/20/2023,23700,24350,23350,24350,24350,16576100
10/23/2023,24350,24350,23700,24000,24000,11978700
10/24/2023,24050,24400,23650,24000,24000,9913100
10/25/2023,24050,24600,24050,24050,24050,12062100
10/26/2023,23800,23850,22600,22800,22800,31110600
10/27/2023,23250,23500,22850,23350,23350,21751200
10/30/2023,23350,23750,23000,23000,23000,16203500
10/31/2023,23500,23500,22900,23000,23000,20972000
11/1/2023,23000,23950,22950,23950,23950,35559800
11/2/2023,24200,25600,24100,25250,25250,27571800
11/3/2023,25400,25500,24750,25100,25100,20498300
11/6/2023,25350,25900,25200,25750,25750,47070500
11/7/2023,25800,26200,25450,25800,25800,19881700
11/8/2023,25800,26950,25600,26950,26950,35518700
11/9/2023,26950,27400,26600,26700,26700,31361600
11/10/2023,26400,27100,26350,26500,26500,29078100
11/13/2023,26500,27600,26500,27200,27200,44047300
11/14/2023,27400,27500,26700,27000,27000,24170000
11/15/2023,27550,27800,27000,27000,27000,34793000
11/16/2023,26850,27200,26800,27200,27200,16331000
11/17/2023,27200,27400,26300,26500,26500,43368900
11/20/2023,26100,26900,26100,26650,26650,18250000
11/21/2023,27000,27500,26950,27050,27050,26772700
11/22/2023,27000,27200,26900,27200,27200,17945500
11/23/2023,27300,27350,25850,25850,25850,21804500
11/24/2023,26000,26400,25550,26400,26400,26228500
