Date,Open,High,Low,Close,Adj Close,Volume
7/17/2023,51600,53100,51400,52900,52900,12105500
7/18/2023,null,null,null,null,null,null
7/19/2023,52900,52900,52100,52100,52100,1816000
7/20/2023,52100,52600,51600,52000,52000,1893807
7/21/2023,52000,52300,51600,52100,52100,2324811
7/24/2023,52200,52600,51800,52000,52000,2611616
7/25/2023,null,null,null,null,null,null
7/26/2023,51400,51900,51000,51000,51000,4119713
7/27/2023,null,null,null,null,null,null
7/28/2023,51100,51600,50900,51500,51500,3550220
7/31/2023,null,null,null,null,null,null
8/1/2023,null,null,null,null,null,null
8/2/2023,null,null,null,null,null,null
8/3/2023,58300,59500,58000,58200,58200,7522816
8/4/2023,59000,62200,59000,62200,62200,21210810
8/7/2023,63500,64300,62400,63900,63900,8530327
8/8/2023,64000,67500,63600,67000,67000,11056430
8/9/2023,67000,67800,65700,65800,65800,10268420
8/10/2023,66300,68400,66100,67900,67900,8161614
8/11/2023,72600,72600,72100,72600,72600,23093120
8/14/2023,74900,75400,71500,73300,73300,12704020
8/15/2023,73000,73300,70700,70700,70700,17485310
8/16/2023,75600,75600,75400,75600,75600,19714910
8/17/2023,75600,76600,71900,71900,71900,25732610
8/18/2023,69100,70000,66900,66900,66900,27733400
8/21/2023,66000,66100,63300,65800,65800,23678720
8/22/2023,67000,67100,62800,64500,64500,13120820
8/23/2023,69000,69000,65000,65000,65000,20341500
8/24/2023,65700,65800,62600,64200,64200,16616200
8/25/2023,65200,66700,63300,63500,63500,18067300
8/28/2023,65000,66700,64500,64700,64700,16772100
8/29/2023,65700,65900,63200,63400,63400,20849300
8/30/2023,63000,63000,60600,62000,62000,25142300
8/31/2023,62500,64100,62000,62100,62100,14984600
9/1/2023,null,null,null,null,null,null
9/4/2023,null,null,null,null,null,null
9/5/2023,62500,63900,61700,62300,62300,13059500
9/6/2023,62400,62500,60800,61600,61600,20289500
9/7/2023,62000,62500,60800,60800,60800,19824100
9/8/2023,60500,60600,59100,59100,59100,28305800
9/11/2023,60100,61400,59100,59100,59100,16362000
9/12/2023,59800,60500,59100,60300,60300,18652200
9/13/2023,60800,61400,59100,59200,59200,20070100
9/14/2023,59100,59300,55500,55500,55500,26948700
9/15/2023,56000,56300,53200,53600,53600,19616940
9/18/2023,53600,53600,52400,53000,53000,15682600
9/19/2023,53500,53900,51500,51700,51700,16936600
9/20/2023,52000,53500,51700,53500,53500,11886500
9/21/2023,53800,53800,52200,52200,52200,8502609
9/22/2023,51500,51600,49800,50000,50000,19736900
9/25/2023,50100,50400,46500,46500,46500,20054920
9/26/2023,46000,46750,44550,45000,45000,15113410
9/27/2023,44600,45250,44050,45200,45200,9048403
9/28/2023,45200,45300,44100,45000,45000,6887102
9/29/2023,45200,48150,45150,46850,46850,13703000
10/2/2023,47000,47550,46500,46900,46900,5084806
10/3/2023,45900,46000,43850,44500,44500,13031800
10/4/2023,44500,46300,44050,46100,46100,10416300
10/5/2023,46200,46400,44800,45600,45600,11978200
10/6/2023,45900,46250,45000,45950,45950,6192900
10/9/2023,46000,46050,45200,45200,45200,6345600
10/10/2023,45600,46150,44900,44900,44900,5911600
10/11/2023,45050,45450,45000,45450,45450,3713800
10/12/2023,46000,47300,45800,46500,46500,7760800
10/13/2023,46050,46450,45550,46100,46100,5122900
10/16/2023,46050,46050,45000,45000,45000,4882400
10/17/2023,45000,45150,44000,44000,44000,4992000
10/18/2023,44050,44550,41500,43800,43800,15689200
10/19/2023,43800,43900,42400,43200,43200,5548400
10/20/2023,43000,43350,41850,43350,43350,6023100
10/23/2023,43350,43400,42600,43400,43400,5011400
10/24/2023,43200,43500,42900,43450,43450,2871800
10/25/2023,44200,45300,43850,44700,44700,8250600
10/26/2023,42900,42950,41600,41600,41600,15936800
10/27/2023,41650,41800,38700,41600,41600,14063100
10/30/2023,41300,41550,39750,41500,41500,6112800
10/31/2023,41050,41550,40450,40500,40500,5980400
11/1/2023,39700,40500,39450,40400,40400,4691900
11/2/2023,40500,41500,39650,41450,41450,6089500
11/3/2023,41700,42100,41250,41600,41600,4167900
11/6/2023,41950,42300,41650,42100,42100,4336000
11/7/2023,41800,42150,41250,42050,42050,4295000
11/8/2023,41900,43050,41600,43000,43000,4811500
11/9/2023,44000,45700,44000,45400,45400,12981000
11/10/2023,45000,45200,44400,44950,44950,5145200
11/13/2023,45050,45050,44450,44800,44800,4026800
11/14/2023,44950,45500,44500,44950,44950,3907100
11/15/2023,45400,45600,44900,45400,45400,6279500
11/16/2023,45400,45400,44850,45100,45100,2383300
11/17/2023,45200,45200,42150,42200,42200,11706200
11/20/2023,40900,42800,40900,42700,42700,4346300
11/21/2023,43050,43150,42050,42600,42600,2925100
11/22/2023,42950,43000,41850,42000,42000,4939800
11/23/2023,42000,42600,41300,41300,41300,3374600
11/24/2023,41350,41500,40600,41350,41350,3566600
