Date,Open,High,Low,Close,Adj Close,Volume
7/17/2023,73000,73600,72200,72300,72300,5802800
7/18/2023,null,null,null,null,null,null
7/19/2023,72500,73000,72400,72600,72600,3025100
7/20/2023,72600,72800,72300,72600,72600,2600707
7/21/2023,72600,73500,72500,73500,73500,3821822
7/24/2023,73500,74000,73300,73600,73600,2535331
7/25/2023,null,null,null,null,null,null
7/26/2023,74400,75200,74300,75000,75000,3189718
7/27/2023,null,null,null,null,null,null
7/28/2023,75800,77700,75600,77400,77400,6143629
7/31/2023,null,null,null,null,null,null
8/1/2023,null,null,null,null,null,null
8/2/2023,null,null,null,null,null,null
8/3/2023,74100,74100,72600,72600,72600,2917624
8/4/2023,72500,73000,72000,73000,73000,3165221
8/7/2023,72900,74900,72300,74900,74900,5087933
8/8/2023,74700,74900,73900,74500,74500,3510526
8/9/2023,74500,74500,72800,73100,73100,3727162
8/10/2023,73100,74000,72900,73100,73100,2813226
8/11/2023,73100,73500,72400,73500,73500,2204332
8/14/2023,73400,73500,72500,73400,73400,3366514
8/15/2023,72900,73400,72700,72800,72800,2259703
8/16/2023,72800,73500,72500,73100,73100,2083904
8/17/2023,73100,74500,72900,73600,73600,4650904
8/18/2023,73500,74800,72100,73300,73300,7106201
8/21/2023,72700,73800,72700,72900,72900,3617708
8/22/2023,73200,73200,71100,72700,72700,3075108
8/23/2023,72400,73600,71600,73500,73500,4172801
8/24/2023,73500,74900,73000,74700,74700,5206002
8/25/2023,75300,75300,74300,74900,74900,3045401
8/28/2023,75000,78100,75000,77900,77900,6034900
8/29/2023,77500,77600,76200,77400,77400,4199801
8/30/2023,77000,78500,76500,77800,77800,2659700
8/31/2023,77500,78900,77100,77800,77800,4386000
9/1/2023,null,null,null,null,null,null
9/4/2023,null,null,null,null,null,null
9/5/2023,78500,80500,78100,80100,80100,6839901
9/6/2023,80100,80100,79500,80000,80000,2280401
9/7/2023,79900,80000,78600,79500,79500,3726700
9/8/2023,79200,80100,79100,80000,80000,2774901
9/11/2023,80000,81100,77600,79500,79500,4234900
9/12/2023,79000,80700,78300,80300,80300,2708500
9/13/2023,79600,80300,78700,79100,79100,2507600
9/14/2023,78500,80000,78400,79400,79400,2660100
9/15/2023,79400,81200,79000,79500,79500,5614800
9/18/2023,79100,79800,78700,78900,78900,1499600
9/19/2023,78500,78900,77400,78900,78900,2571703
9/20/2023,78400,78800,78000,78300,78300,2403202
9/21/2023,78100,78300,77300,78000,78000,2577902
9/22/2023,77100,78300,75800,77500,77500,4361903
9/25/2023,77200,78500,76700,77600,77600,2795503
9/26/2023,77600,78000,76000,76100,76100,2634600
9/27/2023,76300,76600,74800,76600,76600,2273300
9/28/2023,76100,76400,74800,74800,74800,2034300
9/29/2023,75000,76400,74200,74200,74200,1403900
10/2/2023,74200,75600,74200,75600,75600,1304901
10/3/2023,74600,75100,73900,74000,74000,2013700
10/4/2023,73600,74600,73400,74400,74400,1177900
10/5/2023,74100,74400,72700,72700,72700,2645700
10/6/2023,72700,74200,72600,74200,74200,1327000
10/9/2023,74000,74100,73600,73700,73700,1621374
10/10/2023,74300,75000,74000,74400,74400,1123900
10/11/2023,74600,74800,74000,74400,74400,1898774
10/12/2023,74500,75900,74500,75500,75500,2534800
10/13/2023,75400,76300,75000,75800,75800,1560000
10/16/2023,75100,75800,74700,75200,75200,1374400
10/17/2023,75300,76100,74800,74800,74800,1595900
10/18/2023,74800,74800,72400,73900,73900,2572400
10/19/2023,73400,73400,70900,71400,71400,4007700
10/20/2023,71300,72500,70200,72300,72300,2371808
10/23/2023,71700,72000,70100,70200,70200,2804900
10/24/2023,70200,70800,70100,70300,70300,1099508
10/25/2023,70300,70800,69000,69000,69000,2477700
10/26/2023,68500,68600,65900,67000,67000,5201700
10/27/2023,67300,68000,66600,68000,68000,1811000
10/30/2023,67900,68000,67100,67600,67600,1112000
10/31/2023,67900,69500,67600,68000,68000,2183600
11/1/2023,69000,70500,67900,70400,70400,2337200
11/2/2023,70500,70900,69800,70900,70900,2390200
11/3/2023,70900,70900,69800,70000,70000,1692700
11/6/2023,70200,71500,70100,71000,71000,1136800
11/7/2023,70500,70800,69800,70800,70800,1474700
11/8/2023,70800,71500,69800,71400,71400,2339600
11/9/2023,71600,72100,70700,70700,70700,3420100
11/10/2023,70800,70800,69600,69600,69600,2833100
11/13/2023,69700,70000,68600,68700,68700,1730800
11/14/2023,69000,69400,68200,68900,68900,2996000
11/15/2023,70000,71800,70000,70700,70700,3949400
11/16/2023,70600,71300,69900,70300,70300,2368200
11/17/2023,71000,71100,69200,70000,70000,2335800
11/20/2023,69200,69900,69000,69300,69300,2001000
11/21/2023,69400,69800,68900,69500,69500,2989800
11/22/2023,69500,70200,69000,69400,69400,1533200
11/23/2023,69800,69900,68700,68700,68700,1653100
11/24/2023,68600,68900,67600,68300,68300,3128900
